topic,term,cosine,df
Modern racism& inequality,overwegend,0.7707,7
Modern racism& inequality,discriminerende,0.7705,6
Modern racism& inequality,belangrijker,0.7703,11
Modern racism& inequality,solidariteit,0.77,6
Modern racism& inequality,intellectuele,0.7697,5
Modern racism& inequality,populaire,0.7695,15
Modern racism& inequality,fascisme,0.7693,5
Modern racism& inequality,discussies,0.7691,22
Modern racism& inequality,morele,0.7686,27
Modern racism& inequality,identiteit,0.7675,39
Modern racism& inequality,karakter,0.767,49
Modern racism& inequality,verenigen,0.7662,5
Modern racism& inequality,samenleving,0.7652,194
Modern racism& inequality,beïnvloeden,0.7648,12
Modern racism& inequality,afwijzing,0.7638,6
Modern racism& inequality,diversiteit,0.7628,73
Modern racism& inequality,diversiteitsbeleid,0.7615,7
Modern racism& inequality,probleem,0.7603,56
Modern racism& inequality,verbieden,0.7594,6
Modern racism& inequality,profileren,0.7593,17
Modern racism& inequality,kritisch,0.7583,38
Modern racism& inequality,discriminerend,0.7569,10
Modern racism& inequality,immigranten,0.7567,15
Modern racism& inequality,culturen,0.7558,21
Modern racism& inequality,agressie,0.7556,10
Modern racism& inequality,afkomst,0.7533,77
Modern racism& inequality,criteria,0.752,14
Modern racism& inequality,verdeeldheid,0.751,5
Modern racism& inequality,norm,0.7506,42
Modern racism& inequality,respect,0.7501,23
Modern racism& inequality,veranderen,0.7491,26
Modern racism& inequality,rechtvaardigheid,0.7472,12
Modern racism& inequality,imperialisme,0.7454,8
Modern racism& inequality,islamofobie,0.7448,7
Modern racism& inequality,rassen,0.7445,7
Modern racism& inequality,bejegening,0.7442,11
Modern racism& inequality,pamflet,0.7442,5
Modern racism& inequality,openlijk,0.7441,15
Modern racism& inequality,minderwaardig,0.7437,12
Modern racism& inequality,taboe,0.7418,5
Modern racism& inequality,policies,0.7413,11
Modern racism& inequality,waarom,0.7408,147
Modern racism& inequality,moreel,0.7401,10
Modern racism& inequality,antiracisme,0.7388,9
Modern racism& inequality,policy,0.7386,8
Modern racism& inequality,doorbreken,0.7369,12
Modern racism& inequality,administrative,0.7364,7
Modern racism& inequality,crime,0.736,24
Modern racism& inequality,migratieachtergrond,0.7357,15
Modern racism& inequality,adopting,0.7355,9
Modern racism& inequality,multiculturele,0.7345,10
Modern racism& inequality,stigmatiserende,0.7339,5
Modern racism& inequality,achterstelling,0.7327,9
Modern racism& inequality,sumatra,0.7303,16
Modern racism& inequality,hilversum,0.7273,17
Modern racism& inequality,bewustwording,0.7269,20
Modern racism& inequality,vreemdelingenhaat,0.7238,5
Modern racism& inequality,romeinse,0.7216,5
Modern racism& inequality,surinaamse,0.7213,92
Modern racism& inequality,atlantische,0.7184,88
Modern racism& inequality,mentioned,0.7117,6
Modern racism& inequality,criminalisation,0.7108,7
Modern racism& inequality,guyana,0.7103,27
Modern racism& inequality,caricom,0.7093,9
Modern racism& inequality,asiento,0.7089,21
Modern racism& inequality,verwevenheid,0.7075,18
Modern racism& inequality,inferioriteit,0.7072,6
Modern racism& inequality,image,0.7071,5
Modern racism& inequality,indonesische,0.7065,65
Modern racism& inequality,suriname,0.7046,360
Modern racism& inequality,inequality,0.7044,5
Modern racism& inequality,educatie,0.7025,14
Modern racism& inequality,purpose,0.7003,6
Modern racism& inequality,quaestie,0.6997,7
Modern racism& inequality,russia,0.6983,5
Modern racism& inequality,acknowledging,0.6975,5
Modern racism& inequality,afro-surinaamse,0.6974,10
Modern racism& inequality,amongst,0.6964,6
Modern racism& inequality,surinaamsche,0.6964,11
Modern racism& inequality,surinaams,0.696,20
Modern racism& inequality,stemgedrag,0.696,5
Modern racism& inequality,ferdinand,0.6959,5
Modern racism& inequality,controversial,0.6954,6
Modern racism& inequality,portugese,0.6934,36
Modern racism& inequality,responsibility,0.6919,5
Modern racism& inequality,christiane,0.6916,6
Modern racism& inequality,reinerus,0.6915,5
Modern racism& inequality,incitement,0.6914,6
Modern racism& inequality,those,0.691,10
Modern racism& inequality,adoption,0.6908,13
Modern racism& inequality,swellengrebel,0.6907,9
Modern racism& inequality,value,0.6899,6
Modern racism& inequality,ibidem,0.6891,27
Modern racism& inequality,emancipation,0.6889,19
Modern racism& inequality,napoleontische,0.6881,10
Modern racism& inequality,interculturele,0.6876,8
Modern racism& inequality,mercedes,0.6872,5
