topic,term,cosine,df
Reparations,betaling,0.6238,9
Reparations,verplaatsing,0.6192,8
Reparations,afkeer,0.6169,11
Reparations,afwijzing,0.6142,8
Reparations,verzetten,0.6137,14
Reparations,verschuiving,0.6064,5
Reparations,claim,0.6003,5
Reparations,expeditie,0.5967,5
Reparations,onschuldig,0.5947,7
Reparations,ontvangen,0.5921,29
Reparations,rechtsherstel,0.5919,6
Reparations,aflossing,0.5889,6
Reparations,herstellen,0.5845,14
Reparations,assimilatie,0.5831,7
Reparations,reconnaissance,0.5823,6
Reparations,claims,0.5816,5
Reparations,uitdragen,0.5813,5
Reparations,schuldig,0.5813,25
Reparations,rest,0.5772,19
Reparations,betalen,0.5769,23
Reparations,afgevoerd,0.5762,5
Reparations,expansie,0.5675,27
Reparations,vernietiging,0.5655,6
Reparations,uitwerking,0.5648,16
Reparations,ontnemen,0.5647,5
Reparations,vergoedingen,0.5641,8
Reparations,segregatie,0.5631,12
Reparations,afschaffen,0.5603,10
Reparations,opleveren,0.5592,14
Reparations,geregeld,0.5576,36
Reparations,realiseren,0.5566,12
Reparations,bezetting,0.554,24
Reparations,afschaffingen,0.5515,43
Remembrance,herdenking,1.0,46
Remembrance,monument,1.0,37
Remembrance,erfgoed,1.0,28
Remembrance,museum,1.0,65
Remembrance,rijksmuseum,0.8711,36
Remembrance,herdenkingen,0.859,13
Remembrance,musea,0.8418,38
Remembrance,monumenten,0.799,16
Remembrance,historische,0.7806,93
Remembrance,ksmuseum,0.7804,5
Remembrance,historisch,0.7787,83
Remembrance,tropenmuseum,0.7618,11
Remembrance,herdenkingsdag,0.7446,12
Remembrance,herdenkingsdagen,0.7108,12
Remembrance,slavernijmuseum,0.6902,18
Remembrance,denkbeeld,0.6676,13
Remembrance,heritage,0.6642,18
Remembrance,slavernijmonument,0.657,11
Remembrance,schatten,0.649,6
Remembrance,beschuldiging,0.6383,14
Remembrance,gezag,0.6272,48
Remembrance,beschouwing,0.6271,10
Remembrance,rede,0.6255,18
Remembrance,herinnering,0.625,24
Remembrance,stiltes,0.6227,5
Remembrance,herdenken,0.619,23
Remembrance,viering,0.6122,24
Remembrance,histories,0.6117,8
Remembrance,historie,0.6078,7
Remembrance,kasteel,0.6055,8
Remembrance,fortuin,0.5912,14
Remembrance,stilte,0.5863,14
Remembrance,gebouw,0.583,17
Remembrance,history,0.5804,72
Remembrance,archives,0.5757,24
Remembrance,herinneringen,0.5754,7
Remembrance,erfenis,0.5753,50
Remembrance,eeuwse,0.5751,40
Remembrance,heuvel,0.575,7
Remembrance,bevrijding,0.5749,5
Remembrance,eeuws,0.5737,9
Remembrance,trouwen,0.5667,6
Remembrance,historiografie,0.5605,8
Remembrance,herhaling,0.5593,10
Remembrance,verbeelding,0.5573,16
Remembrance,koningshuis,0.5539,8
Remembrance,amendement,0.5524,32
Remembrance,fort,0.5516,26
