topic,keyword,is_regex,group,weight
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)vlucht(?:\W+\w+){0,11}?\W+handel(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)dwangarbeid(?:\W+\w+){0,11}?\W+voc(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)voc(?:\W+\w+){0,11}?\W+dwangarbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)dwangarbeid(?:\W+\w+){0,11}?\W+koloniaal(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)koloniaal(?:\W+\w+){0,11}?\W+dwangarbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)arbeid(?:\W+\w+){0,11}?\W+monopolie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)monopolie(?:\W+\w+){0,11}?\W+arbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)kolonie(?:\W+\w+){0,11}?\W+slaafgemaakt(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)slaafgemaakt(?:\W+\w+){0,11}?\W+kolonie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)arbeid(?:\W+\w+){0,11}?\W+winst(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)winst(?:\W+\w+){0,11}?\W+arbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)bezit(?:\W+\w+){0,11}?\W+handel(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)handel(?:\W+\w+){0,11}?\W+bezit(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)katoen(?:\W+\w+){0,11}?\W+slaafgemaakt(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)slaafgemaakt(?:\W+\w+){0,11}?\W+katoen(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)arbeid(?:\W+\w+){0,11}?\W+voc(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)voc(?:\W+\w+){0,11}?\W+arbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)arbeid(?:\W+\w+){0,11}?\W+slaafgemaakt(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)slaafgemaakt(?:\W+\w+){0,11}?\W+arbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)plantag(?:\W+\w+){0,11}?\W+winst(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)winst(?:\W+\w+){0,11}?\W+plantag(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)dwangarbeid(?:\W+\w+){0,11}?\W+slaafgemaakt(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)slaafgemaakt(?:\W+\w+){0,11}?\W+dwangarbeid(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)kolonie(?:\W+\w+){0,11}?\W+plantag(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)plantag(?:\W+\w+){0,11}?\W+kolonie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)dwangarbeid(?:\W+\w+){0,11}?\W+plantag(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)plantag(?:\W+\w+){0,11}?\W+dwangarbeid(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+uitsluit(?!\w)",True,pair,1.55
Modern & Everyday Racism,"(?<!\w)uitsluit(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.55
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.55
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.55
Modern & Everyday Racism,"(?<!\w)etnisch(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+etnisch(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)inclusie(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+inclusie(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+segregatie(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)segregatie(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.45
Modern & Everyday Racism,"(?<!\w)ongelijk(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+ongelijk(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+migrant(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)migrant(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+migrant(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)migrant(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)discriminatie(?:\W+\w+){0,11}?\W+integratie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)integratie(?:\W+\w+){0,11}?\W+discriminatie(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+uitsluit(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)uitsluit(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)culturel(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+culturel(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)racism(?:\W+\w+){0,11}?\W+witheid(?!\w)",True,pair,1.35
Modern & Everyday Racism,"(?<!\w)witheid(?:\W+\w+){0,11}?\W+racism(?!\w)",True,pair,1.35
