prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.9694371,0.5100834,0.7274964,0.08430481,0.1364887,0.080992945,0.1494926,0.30328313,0.10649173,0.14140746,0.046740867,0.14300777,0.034077816
0.17773235,0.39202544,0.07140238,0.042930935,0.4128482,0.039794732,0.08486443,0.39116907,0.32780856,0.25933716,0.03442347,0.040164653,0.055103973
0.4253298,0.6160923,0.08711664,0.07252934,0.269826,0.068491325,0.3196614,0.30680186,0.030449029,0.9071111,0.026167313,0.060274303,0.0680644
0.6235449,0.7948872,0.41092506,0.05080184,0.1336936,0.032639686,0.22315381,0.195604,0.04083813,0.08662064,0.02471566,0.02809176,0.037464995
0.39770517,0.41445675,0.46498147,0.056596167,0.085989684,0.15151055,0.9626637,0.10925327,0.06041888,0.098316714,0.068485335,0.043104663,0.055419732
0.39428452,0.54264116,0.16255644,0.048457906,0.1644835,0.025305917,0.13349175,0.1933081,0.0321914,0.42858875,0.029947458,0.06992786,0.02413318
0.9131387,0.72467256,0.3574245,0.11860104,0.26342875,0.08061151,0.066750035,0.8768012,0.082476884,0.10066135,0.040450156,0.11881773,0.053956203
0.17921232,0.66506815,0.95954025,0.21687683,0.048466638,0.054581363,0.12772287,0.39938518,0.04390893,0.08916296,0.06250553,0.058450826,0.052823946
0.48104805,0.6855769,0.13958503,0.026757855,0.19626608,0.0333541,0.28602034,0.21856375,0.04081636,0.3157331,0.034961995,0.019385988,0.03392995
0.9505717,0.5548694,0.14847624,0.08514586,0.38338473,0.11941521,0.21065222,0.21163122,0.9500567,0.14129834,0.09452573,0.16014792,0.089595325
0.32462388,0.3380609,0.2363598,0.094790876,0.26767126,0.1604429,0.20719711,0.31316906,0.9957644,0.17223714,0.1008682,0.11132938,0.10951655
0.76528215,0.6109923,0.24611224,0.047462445,0.19262792,0.094589256,0.44801137,0.3043459,0.029493954,0.9053056,0.038218744,0.054071594,0.061530598
0.654386,0.5581023,0.13909176,0.050443914,0.18626197,0.14690767,0.401706,0.19826171,0.035582535,0.9689023,0.0606008,0.041230563,0.05543938
0.22143711,0.50048083,0.2777081,0.056878738,0.979285,0.092854425,0.088372774,0.09051526,0.055583533,0.1752384,0.07029427,0.050555944,0.026093472
0.2989633,0.32310385,0.60819674,0.20951577,0.23493943,0.9457805,0.18887413,0.5410851,0.9868154,0.2892352,0.13653316,0.17285421,0.14667603
0.6318185,0.323398,0.1123055,0.07456818,0.09517285,0.18040246,0.806169,0.32729068,0.063279256,0.97398007,0.063483834,0.06606281,0.21483126
0.2790019,0.4142607,0.9437302,0.13493516,0.06635275,0.041399468,0.116866186,0.27183145,0.053109463,0.07819367,0.050007556,0.049348038,0.026093021
0.58214414,0.61531943,0.10861516,0.04830981,0.070946716,0.02510527,0.26681307,0.17465413,0.038105395,0.16325715,0.027659977,0.03876661,0.023128737
0.60135055,0.72737616,0.21013838,0.035546254,0.10693828,0.025267286,0.17304096,0.18856883,0.043131184,0.080466576,0.03439199,0.033134066,0.024764596
0.501221,0.5807668,0.37472,0.03730897,0.06831061,0.05191264,0.21255632,0.76108885,0.029187532,0.26913625,0.025433253,0.03381955,0.02998765
0.68004304,0.8151526,0.26084265,0.055265546,0.11339094,0.032319628,0.18353881,0.20719562,0.031929232,0.08611002,0.027572175,0.048899367,0.0420923
0.5151129,0.65758055,0.24942331,0.044561386,0.07521813,0.019706467,0.18886705,0.32222262,0.040014632,0.20832424,0.032499738,0.039253358,0.043876093
