chunk_id,dominant_topic,dominant_score,score_margin,confidence_level
d5a91b27:00000,Historical Slavery,0.5074391847853462,0.106072054325768,high
6ac9e4c0:00001,Modern Racism & Inequality,0.4746801231267611,0.0746997422396848,high
96f4e22d:00000,Historical Slavery,0.4781099973483275,0.0673816258952427,high
50fde527:00000,Colonialism,0.4591807300755988,0.0741564799249744,high
50fde527:00001,Historical Slavery,0.4730439685251386,0.1236770901004573,high
391c84c2:00000,Historical Slavery,0.4392394360410934,0.0837111161579789,high
9ef291c3:00001,Historical Slavery,0.4249856733171579,0.0501101757382134,high
4341fe33:00000,Historical Slavery,0.4039754385312999,0.07117044187649,high
4341fe33:00001,Colonialism,0.434315642259748,0.1171858718470049,high
58ac2d2f:00001,Colonialism,0.4031433961585233,0.0658344278538007,high
93cdf215:00000,Colonialism,0.4828925961045147,0.0608520977363662,high
553aa8a4:00000,Historical Slavery,0.4659223277283761,0.0512897220694716,high
86a314c1:00001,Historical Slavery,0.4937052688650125,0.144113937432766,high
db66e0c3:00001,Historical Slavery,0.3771322413888467,0.057063709878372,high
ba25a25b:00000,Historical Slavery,0.4752552690377031,0.0721519063853454,high
ba25a25b:00001,Colonialism,0.5082160880800201,0.2024908031564428,high
6241d1c4:00001,Colonialism,0.447272662761312,0.0783997762549296,high
b6370510:00000,Historical Slavery,0.5341665879554233,0.0863902285334802,high
58b4943c:00000,Historical Slavery,0.4544831275118997,0.0827690941339299,high
60ef265f:00000,Historical Slavery,0.4628666638815573,0.059613435867521,high
0699c2bb:00000,Historical Slavery,0.4266509249194403,0.1276153322152965,high
7f4a8a67:00000,Historical Slavery,0.4859160559670052,0.0866810199109134,high
5a63572f:00000,Historical Slavery,0.4590294468664257,0.0787434298190633,high
2cd2f410:00000,Historical Slavery,0.4325491261618301,0.0645354318042456,high
f0a37492:00000,Historical Slavery,0.5705428907961635,0.2074146308735199,high
14573245:00000,Historical Slavery,0.5477248678892561,0.0998352798027177,high
5a0afb79:00000,Historical Slavery,0.3983478941888252,0.093711925982377,high
5a0afb79:00001,Historical Slavery,0.4049864267012228,0.0721856871321525,high
300f7a99:00000,Historical Slavery,0.4329628514746759,0.0969987357161271,high
300f7a99:00001,Historical Slavery,0.537396725148695,0.0635030044223303,high
8a8beabc:00000,Colonialism,0.4057824610039836,0.0666356237424812,high
9daaf511:00000,Historical Slavery,0.4978336226024865,0.1117599570342442,high
68a2b82b:00000,Historical Slavery,0.5060748263732149,0.0998944745772256,high
