topic,term,cosine,df
Historical Slavery,slavenemancipatie,0.5584,8
Historical Slavery,nederzettingen,0.5583,9
Historical Slavery,verpligting,0.5582,7
Historical Slavery,veroveringen,0.5579,7
Historical Slavery,voorganger,0.5577,9
Historical Slavery,handelscentrum,0.5566,6
Historical Slavery,middle,0.5565,7
Historical Slavery,schaffen,0.556,22
Historical Slavery,ontsnappen,0.5554,14
Historical Slavery,ondertussen,0.5548,5
Historical Slavery,nederzetting,0.5548,7
Historical Slavery,mensenhandel,0.5547,24
Historical Slavery,roofbouw,0.554,6
Historical Slavery,weigerden,0.5539,5
Historical Slavery,graven,0.5537,5
Historical Slavery,drijven,0.5532,7
Historical Slavery,overname,0.5531,5
Historical Slavery,langer,0.5528,47
Historical Slavery,loopt,0.5525,11
Historical Slavery,slaan,0.5525,11
Historical Slavery,aanpakken,0.5522,8
Historical Slavery,witheid,0.5519,11
Historical Slavery,pleit,0.5514,12
Historical Slavery,rechts,0.5514,18
Historical Slavery,levering,0.5509,8
Historical Slavery,affairs,0.5507,5
Historical Slavery,einde,0.5505,78
Historical Slavery,beslag,0.5505,11
Historical Slavery,legden,0.5502,17
Modern Racism & Inequality,stereotypering,1.0,6
Modern Racism & Inequality,uitsluiting,1.0,48
Modern Racism & Inequality,segregatie,1.0,13
Modern Racism & Inequality,gemarginaliseerde,0.9385,9
Modern Racism & Inequality,anti-racisme,0.9206,7
Modern Racism & Inequality,stereotyperingen,0.881,7
Modern Racism & Inequality,antiracisme,0.8655,9
Modern Racism & Inequality,racisme,0.8567,317
Modern Racism & Inequality,racistische,0.8418,52
Modern Racism & Inequality,vooroordelen,0.8325,36
Modern Racism & Inequality,racistisch,0.8154,28
Modern Racism & Inequality,oordeel,0.8147,22
Modern Racism & Inequality,insluiting,0.8129,8
Modern Racism & Inequality,afsluiten,0.799,5
Modern Racism & Inequality,gemeente,0.7975,47
Modern Racism & Inequality,sluiten,0.7713,27
Modern Racism & Inequality,uitsluiten,0.7657,12
Modern Racism & Inequality,anti-zwart,0.7632,21
Modern Racism & Inequality,postkoloniale,0.7402,18
Modern Racism & Inequality,gemeenten,0.7391,22
Modern Racism & Inequality,stereotypen,0.7362,8
Modern Racism & Inequality,sluit,0.721,11
Modern Racism & Inequality,veroordelen,0.7205,8
Modern Racism & Inequality,agressie,0.7087,10
Modern Racism & Inequality,postkoloniaal,0.7075,9
Modern Racism & Inequality,uitbuiting,0.707,22
Modern Racism & Inequality,achterstand,0.701,8
Modern Racism & Inequality,stereotype,0.6995,6
Modern Racism & Inequality,raciale,0.6992,23
Modern Racism & Inequality,etnisch,0.69,27
Modern Racism & Inequality,afgesloten,0.689,5
Modern Racism & Inequality,raciaal,0.6886,7
Modern Racism & Inequality,veroordeeld,0.6798,21
Modern Racism & Inequality,afkeer,0.6793,11
Modern Racism & Inequality,opvatting,0.6771,14
Modern Racism & Inequality,arbeidsmarkt,0.6737,28
Modern Racism & Inequality,racism,0.6735,21
