prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.15434049,0.4509687,0.1616919,0.10511497,0.9264231,0.15130714,0.7346747,0.27941453,0.23291272,0.1902287,0.62908894,0.12662768,0.9765584
0.26560503,0.77466244,0.9432519,0.106363006,0.23030467,0.06012428,0.26938552,0.8309762,0.07257198,0.05536528,0.039402388,0.036082823,0.08388754
0.4349416,0.32120416,0.36495692,0.16854365,0.30108505,0.9898317,0.19616392,0.4895433,0.12092393,0.9491299,0.09345265,0.15341377,0.12693946
0.2560946,0.9462397,0.25150514,0.13647088,0.32907844,0.03935439,0.10295575,0.3643088,0.052326657,0.27407843,0.052378867,0.07725357,0.06503717
0.2748475,0.1630063,0.22653052,0.08786914,0.076636516,0.08870937,0.11757527,0.98619217,0.1365316,0.13074957,0.1282702,0.12620048,0.084234625
0.4166807,0.27617303,0.33336034,0.09642552,0.07894929,0.07092558,0.15154341,0.98917305,0.10798382,0.0939192,0.09678826,0.13480909,0.08498243
0.6840007,0.57105845,0.12512574,0.047617033,0.05076567,0.02889272,0.15792154,0.17315033,0.0573382,0.09387786,0.050680585,0.06242377,0.01784136
0.19336319,0.1608125,0.5268152,0.08084755,0.03791584,0.05882353,0.20830804,0.9753989,0.22243431,0.15230364,0.10648282,0.103892885,0.08124506
0.24685648,0.2503692,0.73406804,0.09734822,0.2802896,0.43744496,0.20744339,0.8096126,0.064295635,0.9844525,0.0882493,0.093822226,0.1515127
0.13688101,0.58903587,0.37419418,0.11602538,0.9093262,0.07817349,0.09828862,0.38402313,0.04615809,0.9231337,0.08409624,0.076665066,0.06504958
0.29257917,0.3492172,0.9169826,0.26311338,0.29914454,0.31344602,0.15379116,0.35014856,0.07376837,0.97964203,0.11849786,0.12025479,0.09946727
0.2644481,0.34636423,0.5055658,0.13240343,0.9438321,0.9770123,0.18656953,0.40148225,0.089404665,0.56202257,0.12018789,0.14878204,0.11663286
0.89495194,0.53317094,0.26169634,0.06040091,0.67153335,0.15491304,0.27169156,0.23320177,0.04066573,0.97889906,0.1195728,0.14499167,0.072576955
0.9563862,0.7064005,0.5273001,0.042931426,0.07567397,0.06946874,0.62623376,0.29641122,0.06978393,0.18713914,0.067528054,0.12993363,0.056238703
0.18059112,0.37962222,0.29098693,0.07275628,0.07552211,0.05812881,0.12590949,0.21210676,0.084043756,0.034627076,0.083933234,0.05956198,0.014685041
0.5580488,0.4138805,0.43883944,0.9282521,0.18946043,0.25338197,0.20918193,0.7112143,0.21207693,0.8624907,0.11527566,0.98763335,0.2361833
0.6750267,0.60544914,0.89722675,0.48837966,0.02551563,0.15367626,0.5414089,0.47245508,0.0418537,0.06096443,0.026410129,0.070010915,0.03340098
0.7510609,0.7589422,0.16100211,0.06785093,0.06910299,0.052585445,0.9296642,0.20109212,0.046701856,0.11448416,0.046421226,0.064573914,0.07348607
0.49315175,0.46000123,0.08358121,0.054614518,0.97897357,0.09742934,0.5299565,0.070426494,0.037294894,0.21027657,0.0976056,0.05250866,0.12209241
0.34259874,0.89378655,0.13831513,0.09521488,0.9761854,0.057107434,0.12737411,0.15197337,0.054393996,0.122870475,0.20943046,0.052252032,0.14383085
0.8579138,0.93651295,0.15507828,0.16625185,0.0939261,0.0587597,0.26338756,0.13113444,0.057103816,0.1166062,0.0615458,0.07477702,0.053662747
0.3315557,0.96074176,0.3380056,0.25776547,0.26657256,0.0485247,0.09738723,0.1741,0.050993346,0.07956087,0.04852737,0.04590876,0.044937197
0.35691527,0.90951985,0.91683966,0.120459616,0.27629757,0.047349542,0.11377973,0.23439838,0.054481573,0.08009281,0.051717304,0.053390626,0.048212815
0.1871659,0.47805038,0.38789576,0.06306106,0.9071574,0.030441366,0.051438097,0.19758707,0.03307443,0.41256863,0.07016777,0.04485051,0.03300454
0.42598435,0.904673,0.36589497,0.09380707,0.81604254,0.09680522,0.478412,0.30232638,0.8978341,0.12674612,0.13815308,0.045132276,0.6338051
0.28626403,0.8943262,0.23152609,0.11271157,0.8705013,0.042375144,0.09890514,0.4877993,0.74643034,0.06042037,0.07829375,0.039473496,0.1393328
0.37200776,0.45264745,0.22541805,0.09742811,0.9376411,0.16984585,0.18867664,0.20043962,0.9896388,0.24979569,0.19764155,0.10436076,0.1915736
0.6010006,0.5724673,0.8071807,0.029855466,0.253793,0.06633606,0.11546475,0.39465743,0.026466493,0.4840815,0.05014759,0.032050896,0.033572678
0.58994454,0.37661088,0.23695192,0.07289639,0.9289032,0.1538527,0.95714825,0.16781136,0.059712153,0.2861574,0.11662434,0.15481453,0.22891733
0.33824584,0.5680541,0.7299043,0.058812022,0.9841192,0.07474885,0.09070241,0.19084328,0.069027044,0.096949235,0.05780192,0.055706166,0.058487274
0.18438101,0.5550598,0.9164938,0.88398415,0.6673901,0.9676992,0.11988296,0.75512826,0.17982872,0.22294396,0.06936762,0.1969713,0.16125892
0.85944116,0.7488588,0.83941555,0.042244993,0.31773484,0.068289116,0.1773207,0.15414186,0.052232735,0.1276612,0.047354363,0.048452895,0.054914914
0.7131859,0.6052522,0.2875718,0.029171154,0.111632034,0.046950184,0.20392449,0.15200971,0.049209394,0.14964943,0.020226777,0.046839103,0.029840888
0.7350944,0.70344466,0.7759341,0.065784894,0.05969483,0.06497494,0.22773747,0.095588334,0.054397013,0.09469577,0.03892108,0.052088797,0.04651072
0.41247988,0.3545993,0.9612127,0.07183963,0.093597636,0.06971245,0.11993208,0.49974316,0.07681219,0.053970557,0.04186793,0.06421953,0.039293632
0.8719649,0.61065036,0.87455213,0.057418287,0.056578748,0.08058283,0.26802453,0.2303153,0.059274804,0.11488993,0.0365409,0.09284766,0.03696313
0.18155934,0.28292078,0.19722562,0.036469262,0.26211923,0.13143909,0.085805394,0.45364258,0.6881613,0.12357862,0.03797087,0.042113297,0.058375508
0.7576416,0.61864614,0.09025119,0.061623015,0.24325377,0.07755862,0.47504178,0.24296027,0.039526496,0.9371307,0.036170404,0.0657862,0.06199814
0.8429959,0.7862211,0.2658315,0.029785328,0.07975276,0.057902556,0.5060017,0.1462616,0.05437998,0.11786929,0.035807513,0.033353318,0.05813384
0.57924753,0.4218938,0.4998758,0.06746016,0.08883631,0.0794341,0.9698388,0.13048476,0.04732709,0.1049753,0.05260871,0.061183825,0.08940214
0.47193953,0.40733555,0.1196839,0.027090076,0.1359273,0.05435756,0.14562222,0.16308649,0.048416063,0.48698065,0.037042033,0.06633984,0.024477668
0.78374964,0.8917033,0.2785216,0.21990138,0.19821657,0.038303524,0.12540995,0.7423858,0.05332163,0.09765017,0.04390095,0.08081391,0.040837448
