term,term_freq,doc_freq
toekomstige,181,165
problemen,181,154
vn,181,135
doelstellingen,181,170
werden,181,147
openbare,180,132
daarvoor,180,179
maanden,180,154
kansen,180,157
bekend,180,158
verslag,180,130
negatieve,180,145
rhb,180,97
laat,179,163
breed,179,137
gevraagd,179,170
bezwaar,179,86
sectoren,179,143
bestuursorgaan,179,94
online,179,130
btw,179,122
besluitvorming,178,160
dhr,178,92
gedeeld,178,167
raming,178,130
kabinetsreactie,178,141
bijgesteld,178,139
plaatsvinden,177,164
richting,177,165
pvda,177,154
daartoe,177,156
sp,177,149
overlopende,177,85
departement,176,138
fiscale,176,119
maatregel,175,143
domein,175,138
uitgavenplafond,175,73
ontstaan,174,153
integraal,174,153
1e,174,122
noodzakelijk,173,161
douane,173,95
lidstaten,173,147
acties,172,161
unie,172,146
zeer,172,154
benodigde,172,166
inrichting,172,151
opgaven,172,133
resterende,172,155
eisen,171,128
emu,171,49
eustatius,170,123
voorwaarden,170,160
exploitatie,170,107
totstandkoming,170,154
voortzetting,170,120
migratie,170,122
juiste,169,134
bepaalde,169,155
verdrag,169,95
waterstaat,169,133
voorgaande,169,158
fouten,169,78
langdurige,169,96
woningen,169,116
buitenland,168,138
ontwikkelingssamenwerking,168,122
state,168,130
processen,168,141
vaak,168,155
oorlog,168,134
circulaire,168,76
zet,167,157
neemt,167,158
langer,167,150
versterkt,167,155
zomerreces,167,135
strategisch,167,120
genoemde,167,161
onverdeeld,167,124
communicatie,166,145
volksgezondheid,166,120
rijks,166,131
vervolgens,165,162
dienen,164,155
betere,164,148
netwerk,164,128
nvwa,164,77
medische,163,114
looptijd,163,126
informatiehuishouding,163,106
leefomgeving,162,127
net,162,155
gezamenlijk,162,150
klachten,162,88
vervanging,162,115
aangegaan,162,131
vordering,162,79
hersteloperatie,162,88
geheel,161,151
systemen,161,131
meerjarige,161,141
beschikbaarheid,161,118
geweld,161,102
beleidsconclusies,161,150
lopend,161,95
leven,160,139
beleidsreactie,160,115
gezamenlijke,160,144
sterk,160,152
stoffen,160,97
verbeteringen,160,143
ontheemden,160,87
toegepast,159,135
monitoren,159,149
bevordering,158,126
aanpassingen,158,143
definitieve,158,126
verwachte,158,144
duidelijk,158,145
coronacrisis,158,138
passend,158,117
betrekken,158,148
huisvesting,158,119
voedselkwaliteit,158,91
sso,158,106
verstrekken,157,124
opnieuw,157,152
gehele,157,143
opgeleverd,157,144
nvw,157,90
tz,157,74
hen,156,144
europa,156,129
weergegeven,156,144
belastingen,156,121
mijnbouw,156,58
garantieverplichtingen,156,94
zorguitgaven,156,45
externen,156,116
rechtspraak,155,89
informeert,155,125
gezien,155,146
hbo,155,84
initiatieven,155,126
uitgevallen,155,120
liquide,155,98
positief,154,136
integratie,154,113
preventie,154,118
aanbod,154,125
besteed,154,142
www,154,107
bijstelling,154,101
hand,153,141
later,153,147
vernieuwing,153,111
bevindingen,153,135
hoog,153,143
geleverd,153,125
organisatieomvang,153,92
besluiten,152,116
werkgelegenheid,152,133
groepen,152,127
inzetten,152,141
gemiddeld,152,120
werknemers,152,109
periodieke,152,110
oda,152,64
subtotaal,152,57
plenaire,152,109
saba,151,111
eerst,151,144
gemeld,151,128
hierop,150,149
wgo,150,103
onderuitputting,150,88
zorgt,150,144
voedsel,150,84
werkwijze,150,126
begrote,150,80
inkoop,150,114
markten,150,83
stap,149,106
volgen,149,143
expertise,149,129
ongeveer,149,136
dijk,149,120
beantwoording,148,132
dg,148,83
omstandigheden,148,116
compensatie,148,133
debiteuren,148,75
begrotingsverband,148,72
durante,148,64
grootste,147,138
starten,147,134
stuurt,147,107
grotendeels,147,143
vierde,147,124
multilaterale,147,81
ieder,146,141
inwerkingtreding,146,122
stukken,146,122
actuele,146,129
beoordeling,146,129
vergoeding,146,120
verbeterd,146,137
visie,146,120
productie,146,114
voorschot,146,92
verstrekte,146,114
bijzonderheden,146,53
international,145,111
directe,145,127
schriftelijk,145,123
borgen,145,140
digitaal,145,126
anders,144,131
beschreven,144,137
ander,144,130
wettelijk,144,137
bereiken,144,134
experiment,144,80
bouwen,144,129
elk,144,130
gemeente,144,119
management,144,130
comptabele,144,61
tz202211,144,75
perspectief,143,126
gelijk,143,134
belangen,143,120
beschikking,143,118
invloed,143,128
bodem,143,82
financieren,143,109
ek,142,87
traject,142,125
beroepsonderwijs,142,100
ca,142,91
konden,142,122
eenmalige,142,102
overgeheveld,142,112
focus,141,129
licht,141,132
aansluiting,141,124
model,141,91
afdeling,141,100
vóór,141,116
bijstand,141,108
beleids,141,133
kleinere,141,127
afgesloten,141,124
jaarverslagen,141,107
specificatie,141,92
bijstellingen,141,70
augustus,140,126
integriteit,140,92
vermeld,140,127
sluiten,140,130
vng,140,112
administratie,140,128
alsmede,140,134
beperking,140,107
heden,140,110
decentrale,140,110
apparaatsuitgaven,140,97
goedkeuring,139,99
keer,139,124
verdeling,139,115
streven,139,129
po,139,91
eilanden,139,106
kamerlid,139,73
aspecten,139,126
instelling,139,112
groter,139,123
administratieve,139,120
richt,139,130
veilige,139,113
daarover,139,131
maritieme,138,93
pakket,138,112
richtlijn,138,98
directie,138,108
behoefte,138,126
maximaal,138,129
getroffen,138,127
gekeken,138,135
wo,138,66
bedrijfsvoeringsparagraaf,138,103
overgeboekt,138,102
bepaald,137,132
omtrent,137,125
huishoudens,137,101
zekerheid,137,113
ordening,137,97
vluchtelingen,137,91
iedereen,136,122
herziening,136,120
procedures,136,99
relatief,136,122
beperkt,136,128
vervolg,136,120
hybride,136,89
provincie,135,101
misbruik,135,78
onderzocht,135,130
verzamelbrief,135,102
ingang,134,116
voort,134,129
verordening,134,92
aanvullend,134,114
gepresenteerd,134,127
creëren,134,123
noord,134,94
uitstaande,134,81
storting,134,108
verantwoordingsstaat,134,78
kasstroom,134,45
individuele,133,127
informatievoorziening,133,109
onvoldoende,133,121
contact,133,111
adr,133,98
lopen,133,129
volume,133,81
svb,133,77
oorspronkelijk,132,106
positieve,132,114
budgetten,132,104
kent,132,126
rusland,132,83
mrb,132,56
gekozen,131,124
context,131,107
afhankelijk,131,125
tegelijkertijd,131,128
waarborgen,131,122
voldaan,131,93
zoveel,131,127
uitvoeringskosten,131,91
kiesraad,131,57
inkomsten,131,89
rvb,131,72
kerncijfers,131,73
weken,130,97
houdt,130,129
openbaarmaking,130,73
lage,130,108
leeswijzer,130,116
verminderen,130,118
miljoenen,130,95
projectbudget,130,74
richten,129,125
ambities,129,110
investeren,129,98
rapportages,129,101
zuid,129,87
opleiding,129,96
tijdelijk,129,118
oplossingen,129,120
dutch,129,102
burger,128,87
vastgoed,128,89
bepalen,128,121
verdeeld,128,112
energietransitie,128,107
ceder,128,100
tegengaan,127,108
kengetallen,127,87
voortgangsbrief,127,103
criminaliteit,127,84
pensioenen,127,73
bestuursorganen,127,102
premies,127,93
kracht,126,116
naleving,126,102
hoofdlijnen,126,106
spelen,126,117
geld,126,111
ondersteund,126,117
functies,126,94
gestelde,126,118
grinwis,126,108
humanitaire,126,79
gebieden,125,112
ontwerp,125,98
aanvraag,125,105
toetsen,125,89
uitgesteld,125,69
tranche,125,87
direkt,125,68
krijgt,124,116
uiteindelijk,124,114
bijzonder,124,118
actieve,124,96
ambitie,124,110
gefinancierd,124,116
procedure,124,107
kwetsbare,124,116
lingen,124,118
laste,124,92
haga,124,76
handelen,123,107
namelijk,123,119
naam,123,84
leggen,123,118
motivering,123,86
prestatie,123,79
zes,123,108
vorig,123,102
dekking,123,105
regie,123,109
taal,123,83
wnt,123,68
visserij,123,70
intra,123,45
jaarrapportage,123,119
mjenv,123,55
oog,122,121
aangekondigd,122,116
betalingen,122,105
passende,122,103
cvte,122,48
gerelateerd,122,106
inkomen,122,100
discriminatie,121,80
beperken,121,114
effectief,121,111
goederen,121,92
beleidsverslag,121,100
beleidsdoorlichtingen,121,66
begrotings,121,107
duurzaamheid,120,102
wegen,120,99
rechtsbescherming,120,75
inclusieve,120,94
amsterdam,120,85
tingen,120,106
denk,119,113
waarden,119,89
ingericht,119,107
ervaringen,119,113
voert,119,106
pilots,119,84
ibo,119,61
bureau,119,100
afname,119,95
ov,119,68
zee,118,83
elke,118,109
beschermen,118,105
spoedig,118,102
exclusief,118,100
sea,118,79
rapporteren,117,113
zvw,117,41
cw,117,78
erfgoed,116,55
begeleiding,116,92
verhouding,116,105
gebruiken,116,111
cao,116,85
koninklijk,116,65
rechtmatigheid,116,73
mutatie,116,101
vrijval,116,86
toegekend,115,103
voordat,115,87
transport,115,95
website,115,93
sdg,115,63
dashboard,115,71
afgenomen,115,95
afschrijvingskosten,115,66
transparantie,114,102
uitgebreid,114,111
levert,114,108
inventarisatie,114,101
inzichtelijk,114,109
facturen,114,80
streefwaarde,114,82
tmg,114,30
vraagt,113,106
weten,113,110
aanbieding,113,103
top,113,84
actie,113,80
groene,113,71
keuzes,113,95
helpen,113,107
ind,113,65
rijkswaterstaat,113,98
mobiliteit,113,85
daardoor,113,108
gebouwen,113,96
deltafonds,113,66
deelnemingen,113,58
ggz,113,63
normering,113,93
verwerving,113,57
vormt,112,111
bijbehorende,112,109
evalueren,112,100
lijst,112,82
inhoud,112,102
uitgangspunten,112,99
inlichtingen,112,86
leraren,112,66
technisch,112,83
gebeurt,112,108
registratie,112,87
voedselzekerheid,112,71
apparaatskosten,112,81
instituut,111,95
verwezen,111,91
update,111,87
namens,111,101
oplossing,111,96
gereed,111,100
verkeersveiligheid,111,69
categorie,111,80
https,111,63
contracten,111,89
wetten,110,81
koninklijke,110,75
inhoudelijke,110,104
doelmatigheid,110,90
problematiek,110,102
slachtoffers,110,78
geboekt,110,100
verleend,110,96
tijde,110,93
ww,110,56
rechtsbijstand,110,65
uitgangspunt,109,103
terwijl,109,106
bleek,109,106
belasting,109,86
juridisch,109,90
platform,109,87
daling,109,90
zodra,109,101
meerjarig,109,103
asielzoekers,109,74
verantwoordingsinformatie,109,62
stikstof,109,80
haakjes,109,30
dergelijke,108,102
verzonden,108,101
evaluaties,108,85
zichtbaar,108,105
afhandeling,108,96
structuur,108,102
correctie,108,75
volkshuisvesting,108,71
aow,108,49
koning,107,58
voorafgaand,107,97
beoogde,107,101
uitzondering,107,98
geëvalueerd,107,97
kandidaten,107,55
georganiseerd,107,101
passen,107,103
aantallen,107,79
rijksbegroting,107,84
divers,107,41
effectieve,107,101
reservering,107,69
mobiliteitsfonds,107,67
druk,106,98
juist,106,100
functioneren,106,99
opgave,106,97
voorgestelde,106,77
gebleken,106,103
innovatieve,106,93
meeste,106,103
leren,106,85
autoriteit,106,84
eenheden,106,71
adviezen,106,90
overschrijding,106,86
ouderen,106,70
navo,106,74
nederlanden,105,89
ervaren,105,88
verhogen,105,94
zouden,105,100
besproken,105,94
wetenschappelijk,105,90
signalen,105,83
huidig,105,55
incl,105,90
omtzigt,105,82
opgebouwd,105,96
aangezien,104,99
bouw,104,92
grondslag,104,92
beleidsprioriteiten,104,78
ziekte,104,80
verlaagd,104,95
ggd,104,62
stelde,104,86
hernieuwbare,104,68
diversen,104,69
pok,104,68
zin,103,95
uitdagingen,103,98
onafhankelijke,103,90
sneller,103,96
effectiviteit,103,95
besteding,103,94
gepland,103,88
thuis,103,80
ondanks,103,103
zicht,103,91
versnellen,103,98
aard,103,99
verwijzing,103,74
vervallen,103,83
jeugd,103,74
bezetting,103,64
bruto,103,64
daarna,102,97
ambtelijk,102,83
daadwerkelijk,102,100
acht,102,93
lucht,102,74
geplande,102,94
kans,102,91
getreden,102,91
inspanningen,102,96
grotere,102,94
som,102,86
volledige,102,97
rechtsorde,102,74
meldingen,102,64
colleges,102,70
rijksvastgoedbedrijf,102,75
ubr,102,57
