prob__Reparations and Remembrance,prob__Modern & Everyday Racism,"prob__Colonial Exploitation, Slavery & Economic Inequality",prob__Uncategorised
0.00031425754,0.0005894408,0.001053347,0.9997745
0.0004150678,0.00032522212,0.0003431567,0.99963653
0.0009199787,0.00016355077,0.056506466,0.99979633
0.0075681466,0.00032094936,0.0011903838,0.999762
0.99985945,0.0018876133,0.0028178375,0.5799314
0.9995353,0.0003795888,0.020245746,0.9297235
0.0022661758,0.00019812581,0.0005085015,0.99970776
0.00049472135,0.00023132905,0.00069094764,0.99970573
0.0029233536,0.0016285133,0.9991779,0.0055820956
0.0027047612,0.0017419369,0.99922824,0.0058405004
0.0023152519,0.0013272807,0.99939454,0.009076846
0.00034315698,0.00030520573,0.00068534666,0.9997353
0.00035818247,0.00031992013,0.00052405935,0.9997185
0.00031316292,0.00029254693,0.0006587787,0.9997118
0.00043023462,0.00032795395,0.0003442073,0.9996655
0.00028245358,0.00039510502,0.0006380067,0.9997247
0.00032800244,0.0004043506,0.00045128205,0.9997172
0.00069837406,0.00026946093,0.052889094,0.99981445
0.004313889,0.0007794106,0.9995592,0.99501836
0.00046794812,0.00034288788,0.00039277837,0.99970883
0.0005083898,0.00030957253,0.00042034715,0.99970895
0.000649592,0.0002964892,0.0003647135,0.9996892
0.008539352,0.0013040904,0.9999267,0.91362107
0.0004683984,0.00025171592,0.0018713083,0.99975973
0.0003678225,0.0003271742,0.001007129,0.99975044
0.0024865225,0.0017932302,0.99938583,0.006282908
0.003668957,0.001891529,0.9996275,0.007012101
0.004824893,0.001454531,0.9998996,0.9524282
0.00040832153,0.00074368936,0.001220307,0.9997991
0.00026630136,0.0007471559,0.0010106479,0.9997559
0.00028144824,0.0003665469,0.00070287636,0.9997278
0.00027936295,0.00036134935,0.004477791,0.99979514
0.0024602881,0.0025392817,0.9996081,0.9959545
0.0015853461,0.0018605145,0.9996693,0.99388415
0.0003464362,0.00046844615,0.00040350115,0.9997137
0.0012420955,0.00023241832,0.00044674336,0.9997019
0.0006307506,0.00026520423,0.00059782265,0.99971634
0.0006630329,0.00028771823,0.00041207584,0.99971205
0.0004800178,0.00030336852,0.0003258966,0.99964035
0.012065033,0.9998252,0.006504113,0.0011522351
0.9976417,0.9997776,0.0023848223,0.0044839764
0.999607,0.99980336,0.016727308,0.003939808
0.9998159,0.0035030774,0.007659979,0.021491434
0.9998274,0.0034519287,0.008060043,0.022249786
