topic,term,weight,category,parent,cosine,df,is_seed
Historical_Slavery_Colonialism,plantage,1.0,core_problem,plantagesysteem,0.804,134,0
Historical_Slavery_Colonialism,plantage-,1.0,core_problem,plantagesysteem,0.8468,9,0
Historical_Slavery_Colonialism,plantage-administrateur,1.0,core_problem,plantage-eigenaren,0.7869,2,0
Historical_Slavery_Colonialism,plantage-eigenaar,1.0,core_problem,plantage-eigenaren,0.8857,12,0
Historical_Slavery_Colonialism,plantage-eigenaars,1.0,core_problem,plantage-eigenaren,0.9187,2,0
Historical_Slavery_Colonialism,plantage-eigenaren,1.0,core_problem,plantage-eigenaren,1.0,34,1
Historical_Slavery_Colonialism,plantageadministratie,1.0,core_problem,plantage-eigenaren,0.8106,3,0
Historical_Slavery_Colonialism,plantagearchieven,1.0,core_problem,plantagesysteem,0.7673,2,0
Historical_Slavery_Colonialism,plantagebezitter,1.0,core_problem,plantage-eigenaren,0.8758,2,0
Historical_Slavery_Colonialism,plantagebezitters,1.0,core_problem,plantage-eigenaren,0.9418,2,0
Historical_Slavery_Colonialism,plantagegebied,1.0,core_problem,plantagesysteem,0.8128,4,0
Historical_Slavery_Colonialism,plantagegebieden,1.0,core_problem,plantagesysteem,0.8141,7,0
Historical_Slavery_Colonialism,plantagegrond,1.0,core_problem,plantagesysteem,0.7876,2,0
Historical_Slavery_Colonialism,plantagegronden,1.0,core_problem,plantagesysteem,0.8137,2,0
Historical_Slavery_Colonialism,plantagehouder,1.0,core_problem,planters,0.8293,4,0
Historical_Slavery_Colonialism,plantagehouders,1.0,core_problem,plantage-eigenaren,0.8529,11,0
Historical_Slavery_Colonialism,plantagehuis,1.0,core_problem,plantage-eigenaren,0.7633,2,0
Historical_Slavery_Colonialism,plantageslaven,1.0,core_problem,planters,0.8032,5,0
Historical_Slavery_Colonialism,plantagesysteem,1.0,core_problem,plantagesysteem,1.0,6,1
Historical_Slavery_Colonialism,plantagewerk,1.0,core_problem,plantagesysteem,0.8277,2,0
Historical_Slavery_Colonialism,plantagewoning,1.0,core_problem,plantage-eigenaren,0.7866,2,0
Historical_Slavery_Colonialism,plantation,1.0,core_problem,planters,0.7677,2,0
Historical_Slavery_Colonialism,planten,1.0,core_problem,planters,0.7645,15,0
Historical_Slavery_Colonialism,planter,1.0,core_problem,planters,0.9127,18,0
Historical_Slavery_Colonialism,planters,1.0,core_problem,planters,1.0,124,1
Historical_Slavery_Colonialism,rassendiscriminatie,1.0,core_problem,rassendiscriminatie,1.0,5,1
Historical_Slavery_Colonialism,schaffing,1.0,core_problem,afschaffing,0.8819,2,0
Historical_Slavery_Colonialism,slaaf,1.0,core_problem,slaaf,1.0,327,1
Historical_Slavery_Colonialism,slaaf-,1.0,core_problem,slaaf,0.9245,15,0
Historical_Slavery_Colonialism,slaaf-gemaakten,1.0,core_problem,slaafgemaakten,0.9409,27,0
Historical_Slavery_Colonialism,slaafge-,1.0,core_problem,slaaf,0.7843,3,0
Historical_Slavery_Colonialism,slaafgemaak-,1.0,core_problem,slaaf,0.7509,2,0
Historical_Slavery_Colonialism,slaafgemaakten,1.0,core_problem,slaafgemaakten,1.0,345,1
Historical_Slavery_Colonialism,slaaven,1.0,core_problem,slaaf,0.7516,23,0
Historical_Slavery_Colonialism,slaavenhandel,1.0,core_problem,slavenhandel,0.7913,2,0
Historical_Slavery_Colonialism,slaven,1.0,core_problem,slaven,1.0,479,1
Historical_Slavery_Colonialism,slaven-,1.0,core_problem,slaven,0.9278,7,0
Historical_Slavery_Colonialism,slavenemancipatie,1.0,core_problem,emancipatie,0.8399,6,0
Historical_Slavery_Colonialism,slavenhandel,1.0,core_problem,slavenhandel,1.0,400,1
Historical_Slavery_Colonialism,slavenhandels-,1.0,core_problem,slavenhandel,0.8672,2,0
Historical_Slavery_Colonialism,slavenhandelsnaties,1.0,core_problem,slavenhandel,0.8587,4,0
Historical_Slavery_Colonialism,slavenhoudende,1.0,core_problem,slaven,0.7909,14,0
Historical_Slavery_Colonialism,slavenkoloniën,1.0,core_problem,koloniën,0.7911,4,0
Historical_Slavery_Colonialism,slavennaam,1.0,core_problem,slaven,0.751,3,0
Historical_Slavery_Colonialism,slavenverleden,1.0,core_problem,slavernijverleden,0.7993,2,0
Historical_Slavery_Colonialism,slavenverstand,1.0,core_problem,slaven,0.8005,3,0
Historical_Slavery_Colonialism,slavernij,1.0,core_problem,slavernij,1.0,775,1
Historical_Slavery_Colonialism,slavernij-,1.0,core_problem,slavernij,0.9593,13,0
Historical_Slavery_Colonialism,slavernijdebat,1.0,core_problem,slavernij,0.8225,2,0
Historical_Slavery_Colonialism,slavernijgerelateerde,1.0,core_problem,slavernij,0.9017,4,0
Historical_Slavery_Colonialism,slavernijperiode,1.0,core_problem,slavernijverleden,0.8209,4,0
Historical_Slavery_Colonialism,slavernijverle-,1.0,core_problem,slavernij,0.8416,3,0
Historical_Slavery_Colonialism,slavernijverleden,1.0,core_problem,slavernijverleden,1.0,231,1
Historical_Slavery_Colonialism,slavin,1.0,core_problem,slaven,0.7968,7,0
Historical_Slavery_Colonialism,totslaafgemaakten,1.0,core_problem,slaafgemaakten,0.8229,3,0
Historical_Slavery_Colonialism,verschaffen,1.0,core_problem,afschaffing,0.8305,10,0
Historical_Slavery_Colonialism,verveling,1.0,core_problem,afschaffing,0.752,4,0
Historical_Slavery_Colonialism,verwerven,1.0,core_problem,afschaffing,0.767,16,0
Historical_Slavery_Colonialism,voc,1.0,core_problem,voc,1.0,162,1
Historical_Slavery_Colonialism,voc-,1.0,core_problem,voc,0.9637,16,0
Historical_Slavery_Colonialism,voc-beambten,1.0,core_problem,voc,0.7699,2,0
Historical_Slavery_Colonialism,voc-bestuurders,1.0,core_problem,voc,0.7515,3,0
Historical_Slavery_Colonialism,voc-dienaren,1.0,core_problem,voc,0.7582,11,0
Historical_Slavery_Colonialism,voc-functionarissen,1.0,core_problem,voc,0.7546,3,0
Historical_Slavery_Colonialism,voc-gebied,1.0,core_problem,voc,0.7521,4,0
Historical_Slavery_Colonialism,voc-imperium,1.0,core_problem,voc,0.7619,4,0
Historical_Slavery_Colonialism,voc-koloniën,1.0,core_problem,koloniën,0.7655,2,0
Historical_Slavery_Colonialism,voc-medewerkers,1.0,core_problem,voc,0.7936,2,0
Historical_Slavery_Colonialism,voc-vestigingen,1.0,core_problem,voc,0.814,2,0
Historical_Slavery_Colonialism,wic,1.0,core_problem,wic,1.0,141,1
Historical_Slavery_Colonialism,wic-,1.0,core_problem,wic,0.9708,5,0
Historical_Slavery_Colonialism,wic-bezit,1.0,core_problem,wic,0.804,2,0
Historical_Slavery_Colonialism,anti-racisme,0.95,strong_problem,raciale,0.7437,3,0
Historical_Slavery_Colonialism,anti-racistisch,0.95,strong_problem,raciale,0.7419,3,0
