topic,term,cosine,df,weight,category,parent,is_seed
Contemporary_Manifestations,noord-amerikaanse,0.628,13,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,beoordeling,0.6272,22,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,tegenprestatie,0.6269,2,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,rechtsgeldig,0.6255,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,stage,0.6245,6,0.9,strongly_related,stage-discriminatie,0
Contemporary_Manifestations,wettelijk,0.6245,45,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,veroordeelde,0.6238,7,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,vooruitzichten,0.6235,2,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,arbeidsongeschiktheid,0.6231,3,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,geldelijk,0.623,3,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,grondwetgevende,0.6229,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,beargumenteren,0.6227,2,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,verwezen,0.6222,30,0.9,strongly_related,vooroordeel,0
