topic,term,cosine,df,weight,category,parent,is_seed
Historical_Slavery_Colonialism,oorlogsschepen,0.7957,7,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,voc-medewerkers,0.7936,2,1.0,core,voc,0
Historical_Slavery_Colonialism,slaavenhandel,0.7913,2,1.0,core,slavenhandel,0
Historical_Slavery_Colonialism,slavenkoloniën,0.7911,4,1.0,core,koloniën,0
Historical_Slavery_Colonialism,slavenhoudende,0.7909,14,1.0,core,slaven,0
Historical_Slavery_Colonialism,plantagegrond,0.7876,2,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,slavenhandelsrederijen,0.7874,9,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,kolonisatoren,0.7871,9,0.9,strongly_related,kolonisten,0
Historical_Slavery_Colonialism,plantage-administrateur,0.7869,2,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,plantagewoning,0.7866,2,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,marineschip,0.7861,6,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,afnemen,0.7859,6,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,verleden,0.7854,229,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,marineschepen,0.7853,4,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,slaafge-,0.7843,3,1.0,core,slaaf,0
Historical_Slavery_Colonialism,slavenleider,0.7841,2,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,historica,0.783,3,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,slavenrederijen,0.7825,3,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,emancipatiewet,0.7819,6,1.0,core,emancipatie,0
Historical_Slavery_Colonialism,slavenjagers,0.7811,4,0.9,strongly_related,slavenhalers,0
Historical_Slavery_Colonialism,slavenvaart,0.7797,17,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,slavenbevrijding,0.7773,4,0.7,moderately_related,slavenopstand,0
Historical_Slavery_Colonialism,landbouwkoloniën,0.7771,2,1.0,core,koloniën,0
Historical_Slavery_Colonialism,gedekoloniseerd,0.777,4,0.7,moderately_related,dekolonisatie,0
Historical_Slavery_Colonialism,laat-koloniale,0.776,2,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,afrekening,0.7755,2,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,non-discriminatie,0.7752,8,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,oorlogsschip,0.775,7,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,gedekoloniseerde,0.7749,3,0.7,moderately_related,dekolonisatie,0
Historical_Slavery_Colonialism,hiërarchisch,0.7748,6,0.9,strongly_related,hiërarchie,0
Historical_Slavery_Colonialism,slavenjacht,0.7744,2,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,plantagelandbouw,0.7743,8,0.9,strongly_related,plantagesamenleving,0
Historical_Slavery_Colonialism,afbouw,0.7737,5,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,aflossingen,0.7727,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,afzet,0.7727,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,racism,0.7722,5,0.9,strongly_related,raciale,0
Historical_Slavery_Colonialism,aflossing,0.7708,10,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-beambten,0.7699,2,1.0,core,voc,0
Historical_Slavery_Colonialism,emancipatieplan,0.7697,2,1.0,core,emancipatie,0
Historical_Slavery_Colonialism,afschaffingswet,0.7685,2,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,plantation,0.7677,2,1.0,core,planters,0
Historical_Slavery_Colonialism,kolonisatieplannen,0.7676,2,0.9,strongly_related,kolonisatie,0
Historical_Slavery_Colonialism,plantagearchieven,0.7673,2,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,verwerven,0.767,16,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavenmakelaars,0.7668,3,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,afname,0.7663,15,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,zeilschip,0.7662,2,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,afschaffen,0.7657,17,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,voc-koloniën,0.7655,2,1.0,core,koloniën,0
Historical_Slavery_Colonialism,planten,0.7645,15,1.0,core,planters,0
Historical_Slavery_Colonialism,hiërarchische,0.7641,10,0.9,strongly_related,hiërarchie,0
Historical_Slavery_Colonialism,plantagehuis,0.7633,2,1.0,core,plantage-eigenaren,0
