topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,weight_bin
Contemporary_Manifestations,non-discriminatiebepalingen,0.7613,2,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,zwarte,0.7612,275,0.9,strongly_related,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,arbeidsrecht,0.7603,3,0.9,strongly_related,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stereotiep,0.7583,2,0.9,strongly_related,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,vlaamse,0.7539,8,0.9,strongly_related,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,sluitend,0.7524,5,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,uitreding,0.7513,2,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antidiscriminatiebeleid,0.7385,2,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,system--the,0.7346,2,0.9,strongly_related,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,zwart,0.73,82,0.9,strongly_related,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,blanke,0.7276,21,0.9,strongly_related,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,caribische,0.7259,174,0.9,strongly_related,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,antilliaan,0.7242,2,0.9,strongly_related,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,sluit,0.721,24,0.85,related_strong,uitsluiting,0,KEEP,,,0,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,veroordelen,0.7205,7,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-amerikaanse,0.7199,6,0.9,strongly_related,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,amerikaansche,0.7171,3,0.9,strongly_related,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,antilliaanse,0.7164,46,0.9,strongly_related,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,blanken,0.7143,20,0.9,strongly_related,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,antidiscriminatiebureaus,0.7096,2,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,sluitende,0.709,2,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,oordeelden,0.7082,2,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,etniciteit,0.707,11,0.9,strongly_related,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,psychologisch,0.7059,5,0.9,strongly_related,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,problematisch,0.7054,14,0.9,strongly_related,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-nederlandse,0.7039,3,0.9,strongly_related,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,paarse,0.7032,3,0.9,strongly_related,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,latijns-amerikaanse,0.7024,2,0.9,strongly_related,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,culturele,0.7002,148,0.9,strongly_related,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afhandeling,0.6991,9,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,beoordelen,0.6984,12,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,nationaliteit,0.6982,18,0.9,strongly_related,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,grijs,0.6979,7,0.9,strongly_related,zwarten,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,territoriale,0.6976,2,0.9,strongly_related,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,arbeidersprotest,0.6974,2,0.9,strongly_related,arbeidsdiscriminatie,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,thematisch,0.6973,4,0.9,strongly_related,systematisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,intrekken,0.6971,2,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,aaneenschakeling,0.6952,8,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,afro-,0.6949,9,0.9,strongly_related,afro-surinamers,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,antiracisme-golf,0.6936,2,0.85,related_strong,anti-zwartracisme,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,uitsluitende,0.693,4,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,typerende,0.6925,2,0.9,strongly_related,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,aantrekken,0.6914,13,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,aangrenzende,0.691,2,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
Contemporary_Manifestations,verstreken,0.6901,2,0.85,related_strong,uitsluiting,0,KEEP,,Low cosine + high weight - verify semantic relevance,1,KEEP,,RECATEGORIZE,Low cosine for strong_problem -> related_strong (0.85),core,1.0,0.0,,0.80-0.89
